# filename	timestamp	anode (kV)	cathode (kV)	gas_gain_bot (PE)	gas_gain_bot_uncertainty (PE)	gas_gain_width_bot (PE)	gas_gain_width_bot_uncertainty (PE)



nerix_140915_1158	1410796731	4.500	2.356	18.01	0.13	8.46	0.19
nerix_140917_1010	1410963059	4.500	2.356	17.56	0.10	5.64	0.06
nerix_140929_1115	1412003711	4.500	5.500	17.38	0.19	6.07	0.10
nerix_140929_1212	1412007170	4.500	0.345	17.27	0.09	5.79	0.06
nerix_140930_0925	1412083618	4.500	0.345	17.72	0.14	6.25	0.09
nerix_140930_1029	1412087363	4.500	5.500	17.43	0.18	8.13	0.22
nerix_140930_1127	1412090858	4.500	1.054	17.62	0.13	6.10	0.08
nerix_140930_1626	1412108784	4.500	2.356	17.47	0.16	5.71	0.10
nerix_140930_1626	1412108784	4.500	2.356	17.47	0.16	5.71	0.10
nerix_141003_1232	1412353937	4.500	2.356	17.76	0.13	6.21	0.09
nerix_141006_0951	1412603472	4.500	1.054	17.56	0.16	6.15	0.09
nerix_141014_1024	1413296662	4.500	2.356	16.94	0.16	5.96	0.09
nerix_141014_1414	1413310450	4.500	1.054	16.62	0.13	5.53	0.08
nerix_141015_1155	1413388559	4.500	2.356	16.84	0.15	5.72	0.10
nerix_141022_1127	1413991673	4.500	0.345	16.11	0.13	5.52	0.08
nerix_141029_1110	1414595428	4.500	5.500	16.16	0.21	5.54	0.12
nerix_141103_1101	1415030484	4.500	5.500	15.86	0.22	5.14	0.11
nerix_141103_1553	1415047993	4.500	2.356	15.71	0.13	5.28	0.08
nerix_141103_1627	1415050047	4.500	1.054	15.78	0.10	5.28	0.07
nerix_141103_1655	1415051735	4.500	0.345	15.57	0.13	5.47	0.07




nerix_141203_1506	1417637204	4.500	1.054	15.97	0.08	5.98	0.06
nerix_141208_1123	1418055788	4.500	5.500	15.24	0.20	6.36	0.08
nerix_141210_1028	1418225331	4.500	2.356	15.48	0.15	6.39	0.08
nerix_141217_1041	1418830898	4.500	2.356	15.85	0.10	6.31	0.06
nerix_150106_1100	1420560055	4.500	0.345	18.07	0.05	5.99	0.03
nerix_150106_1137	1420562275	4.500	1.054	17.10	0.09	5.70	0.04
nerix_150106_1404	1420571071	4.500	5.500	17.26	0.11	5.84	0.05
nerix_150128_1327	1422469642	4.500	1.054	17.40	0.07	5.65	0.04
nerix_150128_1454	1422474848	4.500	2.356	17.64	0.09	5.92	0.05
nerix_150128_1622	1422480172	4.500	5.500	17.50	0.11	5.70	0.06
nerix_150204_1210	1423069856	4.500	1.054	14.48	0.05	4.79	0.03
nerix_150210_1210	1423588260	4.500	1.054	13.95	0.05	4.44	0.03
