# filename	timestamp	anode (kV)	cathode (kV)	gas_gain_bot (PE)	gas_gain_bot_uncertainty (PE)	gas_gain_width_bot (PE)	gas_gain_width_bot_uncertainty (PE)



nerix_140929_1115	1412003711	4.500	5.500	16.47	0.12	5.29	0.11
nerix_140929_1212	1412007170	4.500	0.345	15.96	0.20	6.86	0.11
nerix_140930_0925	1412083618	4.500	0.345	16.19	0.10	5.64	0.08
nerix_140930_1029	1412087363	4.500	5.500	16.65	0.09	5.69	0.09
nerix_140930_1127	1412090858	4.500	1.054	16.38	0.10	5.77	0.08
nerix_140930_1626	1412108784	4.500	2.356	16.32	0.11	5.50	0.10
nerix_140930_1626	1412108784	4.500	2.356	16.32	0.11	5.50	0.10
nerix_141003_1232	1412353937	4.500	2.356	16.44	0.13	5.72	0.10
nerix_141006_0951	1412603472	4.500	1.054	16.45	0.09	5.47	0.08
nerix_141014_1024	1413296662	4.500	2.356	15.68	0.11	5.48	0.09
nerix_141014_1414	1413310450	4.500	1.054	16.15	0.09	5.52	0.07
nerix_141015_1155	1413388559	4.500	2.356	15.86	0.09	5.48	0.08
nerix_141022_1127	1413991673	4.500	0.345	15.49	0.08	6.70	0.06
nerix_141029_1110	1414595428	4.500	5.500	15.46	0.07	4.74	0.06
nerix_141103_1101	1415030484	4.500	5.500	15.47	0.07	4.68	0.05
nerix_141103_1553	1415047993	4.500	2.356	15.16	0.08	5.04	0.06
nerix_141103_1627	1415050047	4.500	1.054	14.98	0.08	5.30	0.07
nerix_141103_1655	1415051735	4.500	0.345	14.93	0.08	8.57	0.13




nerix_141203_1506	1417637204	4.500	1.054	15.67	0.03	5.84	0.02
nerix_141208_1123	1418055788	4.500	5.500	16.23	0.04	6.28	0.03
nerix_141210_1028	1418225331	4.500	2.356	15.97	0.04	6.27	0.03
nerix_141217_1041	1418830898	4.500	2.356	15.20	0.04	5.99	0.03
nerix_150106_1100	1420560055	4.500	0.345	16.38	0.03	12.16	0.06
nerix_150106_1137	1420562275	4.500	1.054	16.29	0.07	5.76	0.05
nerix_150106_1234	1420565688	4.500	2.356	16.09	0.07	5.70	0.05
nerix_150106_1404	1420571071	4.500	5.500	15.66	0.08	5.76	0.05
nerix_150128_1158	1422464318	4.500	0.345	16.72	0.03	12.13	0.06
nerix_150128_1327	1422469642	4.500	1.054	16.84	0.03	5.97	0.02
nerix_150128_1454	1422474848	4.500	2.356	16.30	0.04	5.80	0.02
nerix_150128_1622	1422480172	4.500	5.500	16.10	0.04	5.80	0.03
nerix_150204_1210	1423069856	4.500	1.054	13.74	0.03	11.66	0.05
nerix_150210_1210	1423588260	4.500	1.054	13.06	0.02	11.80	0.06


