# filename	timestamp	anode (kV)	cathode (kV)	gas_gain_bot (PE)	gas_gain_bot_uncertainty (PE)	gas_gain_width_bot (PE)	gas_gain_width_bot_uncertainty (PE)

nerix_140915_1158	1410796731	4.500	2.356	16.65	0.16	6.74	0.14
nerix_140917_1010	1410963059	4.500	2.356	15.81	0.23	6.83	0.20
nerix_140924_1007	1411567631	4.500	1.054	15.13	0.15	7.00	0.13
nerix_140924_1158	1411574320	4.500	5.500	15.70	0.20	7.31	0.17
nerix_140929_1115	1412003711	4.500	5.500	15.42	0.23	7.23	0.19
nerix_140929_1212	1412007170	4.500	0.345	15.58	0.12	6.93	0.11
nerix_140930_0925	1412083618	4.500	0.345	15.68	0.22	7.04	0.19
nerix_140930_1029	1412087363	4.500	5.500	15.70	0.24	7.19	0.21
nerix_140930_1127	1412090858	4.500	1.054	15.74	0.19	6.58	0.17
nerix_140930_1626	1412108784	4.500	2.356	15.85	0.24	6.86	0.19
nerix_140930_1626	1412108784	4.500	2.356	15.85	0.24	6.86	0.19
nerix_141003_1232	1412353937	4.500	2.356	15.27	0.22	7.18	0.19
nerix_141006_0951	1412603472	4.500	1.054	15.51	0.21	6.75	0.18
nerix_141014_1024	1413296662	4.500	2.356	14.77	0.20	6.61	0.18
nerix_141014_1414	1413310450	4.500	1.054	14.62	0.21	6.87	0.18
nerix_141015_1155	1413388559	4.500	2.356	15.12	0.19	6.81	0.16
nerix_141022_1127	1413991673	4.500	0.345	14.01	0.21	6.92	0.19
nerix_141029_1110	1414595428	4.500	5.500	13.55	0.32	6.98	0.29
nerix_141103_1101	1415030484	4.500	5.500	13.14	0.31	6.48	0.27
nerix_141103_1553	1415047993	4.500	2.356	12.71	0.25	6.67	0.22
nerix_141103_1627	1415050047	4.500	1.054	13.27	0.19	6.84	0.18
nerix_141103_1655	1415051735	4.500	0.345	13.14	0.19	7.16	0.17




