# filename	timestamp	anode (kV)	cathode (kV)	gas_gain_bot (PE)	gas_gain_bot_uncertainty (PE)	gas_gain_width_bot (PE)	gas_gain_width_bot_uncertainty (PE)



nerix_140915_1158	1410796731	4.500	2.356	16.83	0.09	5.96	0.08
nerix_140917_1010	1410963059	4.500	2.356	16.59	0.10	6.58	0.08
nerix_140929_1212	1412007170	4.500	0.345	15.67	0.27	6.68	0.13
nerix_140930_0925	1412083618	4.500	0.345	16.23	0.11	5.69	0.08
nerix_140930_1029	1412087363	4.500	5.500	16.32	0.13	5.42	0.10
nerix_140930_1127	1412090858	4.500	1.054	16.43	0.11	6.67	0.08
nerix_141003_1232	1412353937	4.500	2.356	16.37	0.15	5.88	0.11
nerix_141006_0951	1412603472	4.500	1.054	16.54	0.10	5.53	0.08
nerix_141014_1024	1413296662	4.500	2.356	15.74	0.12	5.58	0.10
nerix_141014_1414	1413310450	4.500	1.054	16.23	0.09	6.61	0.08
nerix_141022_1127	1413991673	4.500	0.345	15.57	0.09	5.58	0.07
nerix_141029_1110	1414595428	4.500	5.500	15.46	0.09	6.45	0.07
nerix_141103_1101	1415030484	4.500	5.500	15.41	0.08	4.76	0.05
nerix_141103_1553	1415047993	4.500	2.356	15.16	0.09	5.08	0.07
nerix_141103_1627	1415050047	4.500	1.054	15.02	0.09	7.31	0.09
nerix_141103_1655	1415051735	4.500	0.345	14.78	0.09	5.53	0.06



nerix_141208_1123	1418055788	4.500	5.500	16.24	0.04	6.24	0.03
nerix_141210_1028	1418225331	4.500	2.356	15.96	0.05	6.23	0.03
nerix_141217_1041	1418830898	4.500	2.356	15.11	0.04	10.97	0.08
nerix_150106_1100	1420560055	4.500	0.345	16.58	0.04	5.95	0.02
nerix_150106_1137	1420562275	4.500	1.054	16.28	0.07	5.79	0.05
nerix_150106_1234	1420565688	4.500	2.356	16.07	0.08	5.74	0.05
nerix_150106_1404	1420571071	4.500	5.500	15.64	0.08	5.90	0.06
nerix_150114_1407	1421262426	4.500	1.054	16.23	0.04	5.79	0.02
nerix_150128_1158	1422464318	4.500	0.345	16.91	0.04	6.08	0.02
nerix_150128_1454	1422474848	4.500	2.356	16.18	0.04	5.84	0.03
nerix_150128_1622	1422480172	4.500	5.500	15.98	0.06	5.80	0.03
nerix_150204_1210	1423069856	4.500	1.054	13.99	0.03	4.90	0.02
nerix_150210_1210	1423588260	4.500	1.054	14.09	0.02	5.61	0.02


