# filename	timestamp	anode (kV)	cathode (kV)	gas_gain_bot (PE)	gas_gain_bot_uncertainty (PE)	gas_gain_width_bot (PE)	gas_gain_width_bot_uncertainty (PE)



nerix_140915_1158	1410796731	4.500	2.356	17.81	0.16	5.71	0.08
nerix_140917_1010	1410963059	4.500	2.356	17.04	0.24	5.71	0.10
nerix_140929_1115	1412003711	4.500	5.500	17.39	0.19	5.82	0.11
nerix_140929_1212	1412007170	4.500	0.345	17.35	0.08	5.75	0.05
nerix_140930_0925	1412083618	4.500	0.345	17.12	0.21	5.73	0.10
nerix_140930_1029	1412087363	4.500	5.500	17.46	0.21	5.87	0.11
nerix_140930_1127	1412090858	4.500	1.054	17.30	0.13	5.62	0.09
nerix_140930_1626	1412108784	4.500	2.356	17.22	0.17	5.76	0.10
nerix_140930_1626	1412108784	4.500	2.356	17.22	0.17	5.76	0.10
nerix_141003_1232	1412353937	4.500	2.356	17.29	0.15	5.80	0.10
nerix_141006_0951	1412603472	4.500	1.054	17.09	0.18	5.67	0.09
nerix_141014_1024	1413296662	4.500	2.356	16.59	0.18	5.49	0.09
nerix_141015_1155	1413388559	4.500	2.356	16.71	0.17	5.74	0.09
nerix_141022_1127	1413991673	4.500	0.345	16.01	0.18	5.54	0.09
nerix_141029_1110	1414595428	4.500	5.500	15.72	0.47	7.71	0.35
nerix_141103_1101	1415030484	4.500	5.500	15.39	0.28	5.19	0.12
nerix_141103_1553	1415047993	4.500	2.356	15.42	0.18	5.25	0.09
nerix_141103_1627	1415050047	4.500	1.054	15.75	0.11	5.32	0.07
nerix_141103_1655	1415051735	4.500	0.345	15.70	0.13	5.52	0.08





nerix_141203_1506	1417637204	4.500	1.054	15.92	0.14	6.05	0.09
nerix_141208_1123	1418055788	4.500	5.500	16.03	0.19	6.45	0.09
nerix_141210_1028	1418225331	4.500	2.356	16.20	0.15	6.27	0.10
nerix_141217_1041	1418830898	4.500	2.356	15.14	0.13	6.04	0.08
nerix_150106_1100	1420560055	4.500	0.345	17.17	0.10	5.70	0.06
nerix_150106_1137	1420562275	4.500	1.054	17.11	0.07	5.68	0.05
nerix_150106_1234	1420565688	4.500	2.356	17.33	0.08	5.70	0.05
nerix_150106_1404	1420571071	4.500	5.500	17.30	0.09	5.81	0.05
nerix_150128_1158	1422464318	4.500	0.345	17.22	0.09	5.70	0.06
nerix_150128_1327	1422469642	4.500	1.054	17.11	0.12	5.77	0.07
nerix_150128_1454	1422474848	4.500	2.356	17.35	0.11	5.87	0.07
nerix_150128_1622	1422480172	4.500	5.500	17.23	0.13	5.87	0.08
nerix_150204_1210	1423069856	4.500	1.054	14.28	0.08	4.78	0.05
nerix_150210_1210	1423588260	4.500	1.054	13.63	0.09	4.63	0.05

