***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
***********************************************************
*      315 *        0 *       315 * 12.061733 * 1531.0417 *
*      422 *        0 *       422 * 7.7767704 * 637.09478 *
*      740 *        0 *       740 * 9.9500771 * 1669.0256 *
*      765 *        0 *       765 * 8.2703009 * 619.12110 *
*      818 *        0 *       818 * 18.883665 * 1886.5787 *
*      848 *        0 *       848 * 14.811399 * 1594.8793 *
*     1500 *        0 *      1500 * 11.557712 * 1826.0971 *
*     1739 *        0 *      1739 * 22.379025 * 1950.0493 *
*     1760 *        0 *      1760 * 26.520436 * 2152.5163 *
*     1829 *        0 *      1829 *  25.53014 * 2000.8715 *
*     1966 *        0 *      1966 * 30.916199 * 2688.4170 *
*     1972 *        0 *      1972 * 3.3616565 * 1025.4593 *
*     2018 *        0 *      2018 * 9.8308945 * 1708.7022 *
*     2408 *        0 *      2408 * 6.8130626 * 679.08566 *
*     2417 *        0 *      2417 * 3.7988311 * 327.73323 *
*     2576 *        0 *      2576 * 5.6486691 * 661.87515 *
*     2856 *        0 *      2856 * 4.4740484 * 993.54526 *
*     3100 *        0 *      3100 * 12.417520 * 1017.7646 *
*     3133 *        0 *      3133 * 22.881310 * 2120.6352 *
*     3365 *        0 *      3365 * 10.194133 * 1096.3775 *
*     3445 *        0 *      3445 * 10.744503 * 2499.3827 *
*     3569 *        0 *      3569 * 8.0771743 * 839.44095 *
*     3710 *        0 *      3710 * 24.642718 * 1936.2960 *
*     3884 *        0 *      3884 * 9.7707898 * 1958.5429 *
*     4172 *        1 *      4172 * 14.324855 * 1106.5186 *
*     4311 *        0 *      4311 * 1.8080247 * 798.03777 *
*     4531 *        0 *      4531 * 8.2081763 * 1533.8822 *
*     4632 *        0 *      4632 * 6.4576251 * 832.58230 *
*     4785 *        0 *      4785 * 29.286195 * 2282.6965 *
*     5102 *        0 *      5102 * 13.802444 * 1764.2211 *
*     5106 *        0 *      5106 * 9.9064140 * 1194.2853 *
*     5165 *        0 *      5165 * 15.661343 * 651.20273 *
*     5187 *        0 *      5187 * 7.7081320 * 1261.5655 *
*     5936 *        0 *      5936 * 11.873933 * 932.05218 *
*     6165 *        0 *      6165 * 9.3039725 * 1722.1014 *
*     6179 *        0 *      6179 * 4.5710779 * 887.34213 *
*     6274 *        0 *      6274 * 14.795992 * 1600.4162 *
*     6289 *        0 *      6289 * 31.803495 * 1941.3931 *
*     6361 *        0 *      6361 * 26.692392 * 1876.4565 *
*     6432 *        0 *      6432 * 7.9494809 * 959.71868 *
*     6762 *        0 *      6762 * 18.065775 * 1377.3577 *
*     6844 *        0 *      6844 * 7.3363205 * 1164.4930 *
*     6875 *        0 *      6875 * 9.5478053 * 1077.5831 *
*     8113 *        0 *      8113 * 3.6241485 * 519.09253 *
*     8159 *        0 *      8159 * 7.3161379 * 1260.8679 *
*     8388 *        0 *      8388 * 15.238395 * 1299.6535 *
*     8786 *        0 *      8786 * 8.7604060 * 1351.0134 *
*     9360 *        0 *      9360 * 14.017898 * 1638.4041 *
*     9633 *        0 *      9633 * 5.9123759 * 1350.5300 *
*     9811 *        0 *      9811 * 6.3656915 * 1046.7973 *
*    10275 *        0 *     10275 * 37.971465 * 3334.4740 *
*    10881 *        0 *     10881 * 3.1113412 * 165.47850 *
*    10958 *        0 *     10958 * 3.0810892 * 1598.1501 *
*    11054 *        0 *     11054 * 4.4255529 * 710.50561 *
*    11182 *        0 *     11182 * 19.076453 * 1906.4493 *
*    11355 *        0 *     11355 * 5.2331789 * 996.04103 *
*    11561 *        0 *     11561 * 6.0601647 * 696.49204 *
*    11808 *        0 *     11808 * 14.286587 * 1548.1614 *
*    12431 *        0 *     12431 * 9.6758899 * 1196.4780 *
*    12680 *        0 *     12680 * 31.078942 * 2467.0939 *
*    12726 *        0 *     12726 * 6.7044283 * 2194.1404 *
*    12900 *        0 *     12900 * 5.6454563 * 892.35822 *
*    13333 *        0 *     13333 * 15.871111 * 1178.2974 *
*    13458 *        0 *     13458 * 8.4262782 * 1132.5381 *
*    13977 *        0 *     13977 * 32.783857 * 1873.3548 *
*    14168 *        0 *     14168 * 33.346124 * 3257.0288 *
*    14235 *        0 *     14235 * 17.601876 * 1522.2184 *
*    14468 *        0 *     14468 * 16.820862 *  1496.937 *
*    14674 *        0 *     14674 * 4.0094562 * 356.27204 *
*    14802 *        0 *     14802 * 20.246769 * 2067.2435 *
*    15238 *        3 *     15238 * 4.1737735 * 839.07619 *
*    15981 *        0 *     15981 * 17.179656 * 1764.3583 *
*    16160 *        0 *     16160 * 12.742762 * 1770.2362 *
*    16325 *        0 *     16325 * 10.688203 * 1620.9519 *
*    16408 *        0 *     16408 * 22.426598 * 1867.2578 *
*    16426 *        0 *     16426 * 5.1585347 * 256.28969 *
*    16445 *        0 *     16445 * 12.391601 * 1310.2230 *
*    16608 *        0 *     16608 * 37.105762 * 1621.9608 *
