************************************************
*    Row   *   EventId * cpS1sTotB * cpS2sTotB *
************************************************
*        1 *         1 * 375.33487 * 23388.105 *
*       25 *        25 * 1509.2021 * 270.14538 *
*       51 *        51 * 1.1582910 * 67526.180 *
*       61 *        61 * 14.061889 * 1437.2132 *
*       75 *        75 * 20.853589 * 1492.7955 *
*       76 *        76 * 1854.8119 * 148702.12 *
*       88 *        88 * 3117.2997 * 146589.51 *
*       96 *        96 * 0.6589704 * 71791.331 *
*       99 *        99 * 786.32371 * 134853.63 *
*      104 *       104 * 4.5040105 * 60.831914 *
*      117 *       117 * 2.1615983 * 1304.3091 *
*      128 *       128 * 1172.1706 * 120264.63 *
*      172 *       172 * 24.666238 * 6771.9987 *
*      182 *       182 * 1.5129093 * 67890.780 *
*      196 *       196 * 2.6109215 * 88431.363 *
*      213 *       213 * 831.44504 * 116596.94 *
*      215 *       215 * 905.51161 * 96552.175 *
*      231 *       231 * 749.07005 * 119137.57 *
*      252 *       252 * 21.146269 * 514.12020 *
*      255 *       255 * 31.760046 * 2084.0379 *
*      259 *       259 * 1060.1990 * 124810.47 *
*      311 *       311 * 2.7011721 * 74639.677 *
*      352 *       352 * 11.062005 * 1735.8595 *
*      357 *       357 * 30.736634 * 2592.0477 *
*      377 *       377 * 2.7986463 * 18864.797 *
*      378 *       378 * 994.89553 * 108322.74 *
*      379 *       379 * 1025.0469 * 103483.53 *
*      392 *       392 * 408.49990 * 25354.127 *
*      423 *       423 * 1469.3839 * 152942.14 *
*      426 *       426 * 10.116091 * 1496.4182 *
*      427 *       427 * 1134.2341 * 123048.84 *
*      428 *       428 * 1083.0071 * 60311.007 *
*      487 *       487 * 64.170233 * 4491.9347 *
*      550 *       550 * 2.7468093 * 50570.125 *
*      562 *       562 * 4.2835974 * 79904.042 *
*      564 *       564 * 103.70821 * 10124.203 *
*      593 *       593 * 1104.7217 * 119889.88 *
*      620 *       620 * 1320.3272 * 130867.65 *
*      621 *       621 * 2.6176222 * 63160.074 *
