 1.002000+3 1.996256+0          0          2          2          0 128 6 50    1
 1.000000+0 1.000000+0          0          2          1          2 128 6 50    2
          2          2                                             128 6 50    3
 1.000000+2 1.000000+0 1.000000+7 1.000000+0                       128 6 50    4
 0.000000+0 0.000000+0          0          0          1         67 128 6 50    5
         67          2                                             128 6 50    6
 0.000000+0 1.000000+2          0          0          6          6 128 6 50    7
 0.000000+0 3.779300-2 0.000000+0 1.616600-5 0.000000+0 6.09700-10 128 6 50    8
 0.000000+0 1.000000+3          0          0          6          6 128 6 50    9
 0.000000+0 3.865800-2 0.000000+0 2.368100-5 0.000000+0 7.70920-10 128 6 50   10
 0.000000+0 1.000000+4          0          0          6          6 128 6 50   11
 0.000000+0 4.542600-2 0.000000+0 7.097100-5 0.000000+0 3.531600-9 128 6 50   12
 0.000000+0 2.000000+4          0          0          6          6 128 6 50   13
 0.000000+0 5.211900-2 0.000000+0 1.252100-4 0.000000+0 9.552700-9 128 6 50   14
 0.000000+0 3.000000+4          0          0          6          6 128 6 50   15
 0.000000+0 5.830300-2 0.000000+0 1.857500-4 0.000000+0 1.941800-8 128 6 50   16
 0.000000+0 4.000000+4          0          0          6          6 128 6 50   17
 0.000000+0 6.406800-2 0.000000+0 2.527400-4 0.000000+0 3.383800-8 128 6 50   18
 0.000000+0 5.000000+4          0          0          6          6 128 6 50   19
 0.000000+0 6.946000-2 0.000000+0 3.258400-4 0.000000+0 5.347400-8 128 6 50   20
 0.000000+0 6.000000+4          0          0          6          6 128 6 50   21
 0.000000+0 7.450800-2 0.000000+0 4.046600-4 0.000000+0 7.894400-8 128 6 50   22
 0.000000+0 7.000000+4          0          0          6          6 128 6 50   23
 0.000000+0 7.923700-2 0.000000+0 4.888000-4 0.000000+0 1.108200-7 128 6 50   24
 0.000000+0 8.000000+4          0          0          6          6 128 6 50   25
 0.000000+0 8.367000-2 0.000000+0 5.778500-4 0.000000+0 1.496500-7 128 6 50   26
 0.000000+0 9.000000+4          0          0          6          6 128 6 50   27
 0.000000+0 8.782900-2 0.000000+0 6.714700-4 0.000000+0 1.959200-7 128 6 50   28
 0.000000+0 1.000000+5          0          0          6          6 128 6 50   29
 0.000000+0 9.173100-2 0.000000+0 7.693300-4 0.000000+0 2.501300-7 128 6 50   30
 0.000000+0 1.500000+5          0          0          6          6 128 6 50   31
 0.000000+0 1.080200-1 0.000000+0 1.313300-3 0.000000+0 6.555200-7 128 6 50   32
 0.000000+0 2.000000+5          0          0          6          6 128 6 50   33
 0.000000+0 1.202200-1 0.000000+0 1.932200-3 0.000000+0 1.322000-6 128 6 50   34
 0.000000+0 2.500000+5          0          0          6          6 128 6 50   35
 0.000000+0 1.295900-1 0.000000+0 2.612500-3 0.000000+0 2.297600-6 128 6 50   36
 0.000000+0 3.000000+5          0          0          6          6 128 6 50   37
